keys,pt,en
# --- UI & MENUS ---
MENU_JOGAR,"Iniciar Jogo","Start Game"
MENU_OPCOES,"Opções","Options"
MENU_CREDITOS,"Créditos","Credits"
MENU_PAUSA,"Jogo Pausado","Game Paused"
MENU_CONTINUAR,"Continuar","Resume"
MENU_IDIOMA,"Idioma","Language"
MENU_VOLTAR,"Voltar","Back"
MENU_SAIR,"Sair do Jogo","Quit Game"
BTN_PT,"Português","Portuguese"
BTN_EN,"English","English"

# --- RECURSOS E HUD ---
HUD_DINHEIRO,"Dinheiro","Money"
HUD_MADEIRA,"Madeira","Wood"
HUD_PEDRA,"Pedra","Stone"
HUD_POPULARIDADE,"Popularidade","Popularity"

# --- INTERFACE DE COMPRAS E UPGRADES ---
UI_COMPRAR,"COMPRAR","BUY"
UI_APRIMORAR,"APRIMORAR","UPGRADE"
UI_NIVEL_MAXIMO,"NÍVEL MÁXIMO","MAX LEVEL"
UI_DETALHES,"DETALHES","DETAILS"
UI_NIVEL,"NÍVEL","LEVEL"
UI_GANHOS,"GANHOS","EARNINGS"
UI_EQUIPES_RESGATE,"Equipes Livres","Available Teams"
UI_CATALOGO_TITULO,"Construções Disponíveis","Available Buildings"

# --- CATEGORIAS DE EDIFÍCIOS (building_data) ---
CAT_RESIDENCIAL,"Residencial","Residential"
CAT_COMERCIAL,"Comercial","Commercial"
CAT_INDUSTRIAL,"Industrial","Industrial"
CAT_SERVICOS,"Serviços Públicos","Public Services"
CAT_INFRAESTRUTURA,"Infraestrutura","Infrastructure"
CAT_LAZER,"Lazer e Cultura","Leisure & Culture"
CAT_SEGURANCA,"Segurança","Security"
CAT_SAUDE,"Saúde","Health"
CAT_EDUCACAO,"Educação","Education"
CAT_ENERGIA,"Energia","Energy"

# --- EDIFÍCIOS & LOJA (building_data) ---
# Casa Residencial Simples
PREDIO_CASA_SIMPLES_NOME,"Casa Residencial","Residential House"
PREDIO_CASA_SIMPLES_DESC,"Aumenta a capacidade de moradores e a receita de impostos.","Increases resident capacity and tax revenue."
PREDIO_CASA_SIMPLES_DETALHES,"Gera [color=#FFD700]+10[/color] habitantes na cidade e arrecada impostos continuamente por morador.","Generates [color=#FFD700]+10[/color] citizens in the city and continuously collects tax per resident."

# Prefeitura
PREDIO_PREFEITURA_NOME,"Prefeitura","City Hall"
PREDIO_PREFEITURA_DESC,"Sede administrativa da cidade. Libera novas áreas e projetos.","City administrative headquarters. Unlocks new areas and projects."
PREDIO_PREFEITURA_DETALHES,"Sede administrativa. Aumenta a capacidade do território e libera novas áreas a cada [color=#FFD700]+1[/color] nível.","Administrative headquarters. Increases territory capacity and unlocks new areas every [color=#FFD700]+1[/color] level."

# Estação de Tratamento
PREDIO_ESTACAO_TRATAMENTO_NOME,"Estação de Tratamento","Treatment Plant"
PREDIO_ESTACAO_TRATAMENTO_DESC,"Unidade central de infraestrutura hídrica para controle de enchentes na cidade.","Central water infrastructure facility for flood control in the city."
PREDIO_ESTACAO_TRATAMENTO_DETALHES,"Habilita a [color=#FFD700]Zona do Rio[/color] e ativa o funcionamento de [color=#FFD700]100%[/color] das Bombas de Drenagem no mapa.","Unlocks the [color=#FFD700]River Zone[/color] and enables [color=#FFD700]100%[/color] of active Drainage Pumps on the map."

# --- ABRIGO E SOCORRO ---
# Abrigo Comunitário
PREDIO_ABRIGO_NOME,"Abrigo Comunitário","Community Shelter"
PREDIO_ABRIGO_DESC,"Acolhe cidadãos desabrigados durante e após desastres.","Houses displaced citizens during and after disasters."
PREDIO_ABRIGO_DETALHES,"Cada unidade acolhe até [color=#FFD700]20[/color] cidadãos desabrigados e evita a perda de popularidade durante enchentes.","Each are houses up to [color=#FFD700]20[/color] displaced citizens and prevents popularity loss during floods."

# Estação de Bombeiros
PREDIO_BOMBEIROS_NOME,"Estação de Bombeiros","Fire Station"
PREDIO_BOMBEIROS_DESC,"Disponibiliza equipes de resgate para salvar vítimas de emergências.","Provides rescue teams to save victims from emergencies."
PREDIO_BOMBEIROS_DETALHES,"Habilita [color=#FFD700]2[/color] equipes de resgate ativa para socorrer vítimas durante enchentes.","Unlocks [color=#FFD700]2[/color] active rescue teams to save victims during floods."

# --- DIÁLOGOS DAS MISSÕES (Secretária x Tesoureiro) ---
SECRETARIA,"Secretária","Secretary"
TESOUREIRO,"Tesoureiro","Treasurer"

# Missão 1 - Corpo de Bombeiros
TXT_MISSAO1_1,"Tivemos três princípios de incêndio essa semana, e o mais próximo que temos de ajuda são vizinhos com baldes. Um dia desses não vai dar pra apagar a tempo.","We had three near-fires this week, and the closest thing we have to help is neighbors with buckets. One of these days we won't put it out in time."
TXT_MISSAO1_2,"Ninguém aqui quer ver a cidade pegando fogo, mas um corpo de bombeiros completo é caro, e mal começamos a nos organizar financeiramente. Se guardarmos esse valor, temos fôlego pra imprevistos maiores.","Nobody here wants to see the city on fire, but a full fire department is expensive, and we've barely started organizing our finances. If we save that money, we'll have room for bigger emergencies."
TXT_MISSAO1_3,"E se o imprevisto maior for justamente um incêndio que dava pra ter evitado?","And what if the bigger emergency is exactly a fire we could have prevented?"

# Missão 3 - Estação de Tratamento
TXT_MISSAO3_1,"Os especialistas da Defesa Civil avisam que a cidade não tem nenhum sistema pra lidar com um temporal forte — se isso acontecer, não vamos ter como reagir a tempo. Uma Estação de Tratamento resolveria isso antes que vire um problema de verdade.","Civil Defense specialists warn the city has no system to handle a major storm — if it happens, we won't be able to react in time. A Treatment Plant would solve that before it becomes a real problem."
TXT_MISSAO3_2,"É um projeto grande, e ainda não sabemos se vamos precisar dele tão cedo. Prevenir custa caro, e não temos como garantir que essa chuva forte vá mesmo acontecer.","It's a big project, and we don't even know if we'll need it anytime soon. Prevention is expensive, and there's no guarantee this storm will actually happen."
TXT_MISSAO3_3,"Também não temos como garantir que não vá.","There's no guarantee it won't, either."

# --- DIÁLOGOS DO TUTORIAL (APRESENTAÇÃO E FUNCIONAMENTO DO JOGO) ---
TXT_TUTORIAL_1,"Olá! Esta é a equipe responsável por auxiliar na administração da cidade. A Secretaria acompanha os serviços públicos e o funcionamento da cidade.","Hello! This is the team responsible for assisting with city administration. The Secretariat oversees public services and the operation of the city."

TXT_TUTORIAL_2,"O setor financeiro acompanha as receitas, despesas e recursos disponíveis para a administração da cidade.","The financial department monitors the city's revenue, expenses, and available resources."

TXT_TUTORIAL_3,"A administração da cidade envolve construção de edifícios, gerenciamento de recursos, expansão urbana e preparação para situações de emergência.","City administration involves building structures, managing resources, urban expansion, and preparing for emergencies."

TXT_TUTORIAL_4,"O dinheiro é um dos principais recursos da cidade. Construções, melhorias e serviços públicos exigem investimentos e precisam ser planejados de acordo com os recursos disponíveis.","Money is one of the city's main resources. Buildings, upgrades, and public services require investment and must be planned according to available resources."

